parasite_index,connected_localities
4470,"Zimbabwe;Yukon + Northwest Territories;Wisconsin;Transvaal;Yugoslavia;New South Wales;Queensland;South Korea;Sri Lanka;Venezuela;Japan;Victoria;Western Australia;Ukraine, incl. Moldavia;Oriental;United States;Western Europe"
5110,"Zimbabwe;Transvaal;Taiwan;Yugoslavia;Turkmenistan;Hungary;Sri Lanka;Japan;Ukraine, incl. Moldavia;Oriental;Bulgaria;Western Europe"
2928,"Zimbabwe;Oriental;Yukon + Northwest Territories;Wisconsin;Yugoslavia;Byelorussia;Spain + Andalusia;Italy;Japan;Wyoming;Ukraine, incl. Moldavia;Lithuania;United States;Lake Baikal;Western Europe"
4890,Zimbabwe;South America
5066,Zimbabwe;Yukon + Northwest Territories;Yugoslavia;Kazakstan;Spain + Andalusia;Nigeria;Vietnam;Wyoming;Oriental;United States;Western Europe
7242,Zimbabwe;Oriental;Pakistan
7376,Zimbabwe;Thailand;Oriental;United States;Western Europe
4481,Zimbabwe;Spain + Andalusia;South America;Uzbekistan;Thailand;Oriental;United States;Western Europe
4462,Zimbabwe;Western Australia;Western Europe
6721,Zimbabwe;Virginia;Wyoming
3938,Zimbabwe;West Coast of Norway;Southern Indian Ocean;Western coast of British Isles;Southeast Atlantic;Atlantic Ocean;Northeast Atlantic;Pacific Ocean;Sea of Okhotsk;Southwest Atlantic;Southwest Indian Ocean;Norwegian Sea;Western Mediterranean;Western Europe
8175,Zimbabwe
8268,Zimbabwe;Tunisia
8361,Zimbabwe
6423,Zimbabwe;Kirgizia;Mongolia;Thailand;United States;Western Europe
8512,Sri Lanka;Zimbabwe;Transvaal;Oriental
9029,Zimbabwe
9117,Zimbabwe;South America
2996,"Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Yugoslavia;Western Europe;Wyoming;Ukraine, incl. Moldavia;United States;Washington"
4260,Zimbabwe;Transvaal;Tanzania;Southern S. America;Kazakstan
9705,"Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Spain + Andalusia;Tanzania;Ukraine, incl. Moldavia;United States"
9706,Zimbabwe;Uganda + Burundi + Rwanda;Sierra Leone;Tanzania;Uzbekistan;Zaire;Japan;South Africa;Sri Lanka;Philippines;Senegal + The Gambia + Guinea-Bassau;Western Europe
9707,"Middle East + Asia Minor;Zimbabwe;Yukon + Northwest Territories;Yugoslavia;South America;Ukraine, incl. Moldavia;United States;Washington"
9708,Zimbabwe;South Korea;Vietnam;Oriental;United States;Far East
9709,Zimbabwe
9712,Zimbabwe;Zaire;Southern S. America;Gabon + Congo + Equatorial Guinea
9715,Zimbabwe;Venezuela;South America
9716,Zimbabwe;Yugoslavia;Sierra Leone;Ivory Coast;Tanzania;South America;Zaire;Thailand;Oriental
9770,Zimbabwe;Taiwan;Australia;Egypt;Queensland;South Korea;South America;Vietnam;Pacific Ocean;Southern S. America;Cuba;Thailand;Oriental;United States;Far East;Western Europe
9788,"Zimbabwe;Nicaragua;South America;Southern S. America;Thailand;Ukraine, incl. Moldavia;Honduras;United States;Far East;Western Europe"
